Estructura, Media, Desv, Media, Desv
{n : 2 : k}, 0.00144329, 0.000195919, 0.00527275, 0.00134697
{n : 5 : k}, 0.00106592, 6.06631e-05, 0.00572958, 0.000912973
{n : 10 : k}, 0.00108108, 3.27043e-05, 0.00469538, 0.000636367
{n : 25 : k}, 0.00115335, 8.44744e-05, 0.00568541, 0.000482257
{n : 50 : k}, 0.0011998, 6.16632e-05, 0.00654248, 0.000552143
{n : 100 : k}, 0.00126497, 0.000155542, 0.00617595, 0.000410995
{n : 2 : 2 : k}, 0.00578616, 0.00753586, 0.00927035, 0.00682025
{n : 5 : 5 : k}, 0.00159354, 0.000206894, 0.00533122, 0.000267262
{n : 10 : 10 : k}, 0.0015083, 0.000103524, 0.00564723, 0.00100907
{n : 25 : 25 : k}, 0.00123789, 0.000144993, 0.00570728, 0.000640275
{n : 50 : 50 : k}, 0.00122513, 0.000145586, 0.00628834, 0.00027812
{n : 100 : 100 : k}, 0.00114371, 0.000232507, 0.00760334, 0.00116539
