Estructura, Media, Desv, Media, Desv
{n : 2 : k}, 0.0301277, 0.00019692, 0.0360185, 0.000145867
{n : 5 : k}, 0.0293023, 0.00132386, 0.0341265, 0.0027073
{n : 10 : k}, 0.0302702, 0.000159846, 0.0368056, 0.000604375
{n : 25 : k}, 0.028364, 0.000791987, 0.0326455, 0.00247829
{n : 50 : k}, 0.0273758, 0.000120713, 0.0308952, 0.000449324
{n : 100 : k}, 0.0290203, 0.000507622, 0.03461, 0.000999969
{n : 2 : 2 : k}, 0.0301238, 0.000223348, 0.0360113, 5.64499e-05
{n : 5 : 5 : k}, 0.0302764, 0.000298452, 0.03609, 0.000167552
{n : 10 : 10 : k}, 0.0303356, 0.000304955, 0.0360203, 0.000375926
{n : 25 : 25 : k}, 0.0298775, 0.000711363, 0.0362823, 0.00048594
{n : 50 : 50 : k}, 0.0275993, 0.0024728, 0.0313275, 0.00465713
{n : 100 : 100 : k}, 0.0270017, 0.00145281, 0.0362746, 0.00346154
