Estructura, Media, Desv, Media, Desv
{n : 2 : k}, 0.140759, 0.0541244, 0.140893, 0.0541884
{n : 5 : k}, 0.0182761, 0.0114866, 0.0182786, 0.0114888
{n : 10 : k}, 0.00941709, 0.00113589, 0.00941824, 0.00113619
{n : 25 : k}, 0.0050031, 0.000346588, 0.00500001, 0.00034718
{n : 50 : k}, 0.00391411, 0.000296484, 0.0039094, 0.00029746
{n : 100 : k}, 0.101915, 0.135607, 0.101912, 0.135604
{n : 2 : 2 : k}, 0.24649, 0.00445858, 0.246535, 0.00440771
{n : 5 : 5 : k}, 0.223066, 0.0205838, 0.223126, 0.020505
{n : 10 : 10 : k}, 0.0727347, 0.0841001, 0.072695, 0.0840522
{n : 25 : 25 : k}, 0.00337156, 0.000465244, 0.00337083, 0.000467097
{n : 50 : 50 : k}, 0.0018466, 0.000341917, 0.00184349, 0.000342286
{n : 100 : 100 : k}, 0.000956196, 3.3703e-05, 0.000950428, 3.24171e-05
